"FECHA_CORTE","FECHA_EMISION","MES_FACTURACION","COD_EMPRESA","RAZON_SOCIAL","GRUPO","COD_SIS_ELECTR","COD_TARIFA","ATARIFA","USO","SUMINISTROS","PROMEDIO_CONSUMO"
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0007,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,1,54
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,7
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,3,14
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,21,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,57,1634
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0071,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,1,90
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0161,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,15,374
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,2,130
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,8,"1P2E-BT Presente en Punta                                                                                                                             ",Comercial,2,9391
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,11,"1P1E-BT Presente en Fuera de Punta                                                                                                                    ",Industrial,1,1816
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,8,42
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0223,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,1,326
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,1,721
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,4,43
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0161,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,1,767
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0161,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,107,9
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE1074,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,2,175
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0222,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,1,117
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,178
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,20,48
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,11
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,2,129
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0222,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,3630,60
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0222,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,22,599
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0222,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,2,13
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0223,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,215,9
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,1,132
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,8,34
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0161,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,53,193
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,942,6
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE1074,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,940,10
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,45,155
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,4,389
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0161,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,1,86
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0068,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,2,121
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,29
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0068,43,De 31 a 100 kW.h                                                                                                                                      ,Residencial,1,95
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,241
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,1246,855
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0016,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,172
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0016,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,2,0
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0016,21,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,1,1146
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,230,605
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SR0140,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,17,133
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,21,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,1605,1997
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0262,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,1
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,5127,383
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,20519,70
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,13062,124
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,45,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,160
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,13809,7
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0008,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,30,123
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0262,42,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,515
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0328,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,1,980
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0011,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,4,171
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0011,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,36,6
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0016,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,13,175
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0014,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,235,8
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0014,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,5,213
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0007,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,3,4
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,42,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,0
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,5103,7
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,2,127
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,66,590
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0221,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,577,205
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,41,123
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0012,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,6,822
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,11,"1P1E-BT Presente en Fuera de Punta                                                                                                                    ",Industrial,1,25171
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR5001,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,27
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,2,207
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,11,573
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0161,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,3,391
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0161,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,8,76
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,4,"1P2E-MT Presente en Fuera de Punta                                                                                                                    ",Industrial,1,3189
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,48,50
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,16
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0068,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,4,131
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,1,39
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0161,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,9,123
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,330,10
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0222,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,219
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE1224,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,0
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,58,385
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1196,5
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0068,5,"1P1E-MT Presente en Punta                                                                                                                             ",Comercial,1,24140
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0068,21,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,1,1359
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,3,46
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0068,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,1,144
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0068,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,165
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0222,6,"1P1E-MT Presente en Fuera de Punta                                                                                                                    ",Industrial,4,4270
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0223,2,"2P2E-MT                                                                                                                                               ",Industrial,2,927
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0223,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,1,594
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,1,367
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,172
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0222,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,17,66
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0223,23,"1P-BT Pension Fija                                                                                                                                    ",Comercial,1,500
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,607,64
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,23,"1P-BT Pension Fija                                                                                                                                    ",Comercial,11,11
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0161,3,"1P2E-MT Presente en Punta                                                                                                                             ",Comercial,2,3166
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,9,122
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,522,55
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,7,11
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,7,"2P2E-BT                                                                                                                                               ",Industrial,1,8
"20250306","20220131","202201",CHAV,PROYECTO ESPECIAL CHAVIMOCHIC,MUNICIPAL,SE0260,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,61,53
"20250306","20220131","202201",COEL,CONSORCIO ELECTRICO DE VILLACURI SAC,PRIVADAS,SE0263,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,146,12
"20250306","20220131","202201",COEL,CONSORCIO ELECTRICO DE VILLACURI SAC,PRIVADAS,SE0263,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,9,410
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,58,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,4,1337
"20250306","20220131","202201",CHAV,PROYECTO ESPECIAL CHAVIMOCHIC,MUNICIPAL,SE0260,29,"2E-BT MD hasta 20 kW en HP y 50 kW en HFP                                                                                                             ",Comercial,1,0
"20250306","20220131","202201",COEL,CONSORCIO ELECTRICO DE VILLACURI SAC,PRIVADAS,SE0001,6,"1P1E-MT Presente en Fuera de Punta                                                                                                                    ",Industrial,81,810
"20250306","20220131","202201",COEL,CONSORCIO ELECTRICO DE VILLACURI SAC,PRIVADAS,SE0001,9,"1P2E-BT Presente en Fuera de Punta                                                                                                                    ",Industrial,5,3979
"20250306","20220131","202201",COEL,CONSORCIO ELECTRICO DE VILLACURI SAC,PRIVADAS,SE0001,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,3,939
"20250306","20220131","202201",COEL,CONSORCIO ELECTRICO DE VILLACURI SAC,PRIVADAS,SE0263,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,240,61
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,53,BT5E (1E) - Residencial de 101 a 150 kW.h                                                                                                             ,Residencial,534,125
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0262,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,164
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1693,6
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,204,68
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,64,8
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,8118,214
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,13,132
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0016,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,2,82
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,6310,589
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,7342,377
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0008,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,1,863
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0262,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,11,197
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0016,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,4,14
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0016,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,15,132
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,2,76
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,1,0
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,726,382
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,50,"1E-BT No Residencial                                                                                                                                  ",Comercial,1,370
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0221,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,1,61
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0221,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,23,190
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,39,846
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,4769,6
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,29649,214
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,3968,384
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,50,"1E-BT No Residencial                                                                                                                                  ",Comercial,1,2557
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,765,123
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,45,849
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,1830,498
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,46,De 301 a 500 kW.h                                                                                                                                     ,Residencial,3,422
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,8484,70
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0008,21,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,2,2919
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,1,302
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0328,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,178,8
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0014,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,212,4
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,2,117
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0007,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,5353,207
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0262,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,1,100
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0007,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,25,875
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0007,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,719,375
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0013,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,10
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,233
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,44,BT5D (1E) - Residencial de 101 a 150 kW.h                                                                                                             ,Residencial,1,149
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,25
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0262,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,1,31
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,3,192
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,1,420
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0012,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,16,619
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,0
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,4,165
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,9,"1P2E-BT Presente en Fuera de Punta                                                                                                                    ",Industrial,1,7
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0068,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,18,62
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0068,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,5,14
